Intent,Statement
Distress,He pushed me hard and it made my heart feel jumpy and sad
Question,Could I have permission to watch TV?
Comfort,I always feel better when you're nearby.
Refusal,"I wonât wear that, it looks weird!"
Excitement,I finally unlocked the secret level!
Comfort,My favorite cartoon feels like a warm hug when I need one.
Question,What's your favorite song?
Comfort,Melodies make my trip feel safe and joyful.
Desire,I want to be a police
Comfort,Pat-pat. Make my arm feel SO MUCH BETTER!
Emotion,my disappointment reminds me how deeply I can care—and that’s a beautiful thing.
Question,"If dogs could play football, would they always chase the ball or try to catch it?"
Comfort,Nothing makes me feel calmer than my lullaby.
Command,Don’t leave me alone at bedtime
Emotion,I’m thankful for my family and friends.
Pride,I got a good grade!
Pride,I climbed! Up high!
Desire,I’d love to pack a bag and head off on an adventure together.
Complaint,This delay is making my thoughts bounce like popcorn kernels.
Imitation,I’m talking like I’ve got a to-do list in my head
Comfort,Having someone near me makes everything feel okay.
Emotion,Biscuits make me really happy!  
Observation,"Daddy, the waves move like they do in my geography class!  "
Emotion,I feel left out like a swing swaying gently—with no one beside me.
Need,I'm looking for my bib.
Emotion,"Mama, I feel happy like my favourite TV character!  "
Gratitude,each seashell we found and every splash we made is now a happy memory tucked in my heart.
Question,Where is that particular item?
Pride,I made a new friend today!
Desire,I fancy being picked up super high
Refusal,Can I skip the nap today?
Desire,I truly desire to be in Ghana and see what it’s like.
Desire,I long for a huge pile of snacks.
Need,Every step in these tight shoes feels like I’m trudging in too-small boots—help me pick comfy trainers.
Refusal,Nope! That’s not something I’m willing to do.
Attention,"Mummy, check out my Lego London Bridge!  "
Emotion,I feel blue when I miss someone I love.
Emotion,That feeling makes me feel like my joy is pacing in circles.
Distress,"I don’t want to close my eyes, I feel anxious and unsettled"
Pride,I can skip rope forwards and backwards!
Desire,I want to help.
Gratitude,Thank you for your kind words.
Gratitude,"Mama, thanks for taking me to the seaside!  "
Desire,I’m dreaming of that action figure becoming the star of my next creative project
Emotion,I feel happy eating carrots like Bugs Bunny!  
Complaint,I don’t like how it feels when it’s not warm.
Desire,I’d be so happy to visit ASDA and pick out a new favorite toy.
Need,I want shoes with room so my toes can wiggle.
Comfort,"When I put on my lucky jersey, I feel all warm and strong inside."
Observation,I saw a tiny bug carrying a huge leaf!  
Command,"Stay on this channel,I love this show!"
Need,I seem to be struggling to open this; might you be able to achieve it?
Emotion,I feel a little nervous but excited too!  
Imitation,I’m copying the way biryani makers sniff the spices with a smile!
Complaint,I don't like this new rule.
Refusal,"I’m serious,this is a big no from me."
Comfort,I need a peaceful space to ease my sadness.
Complaint,It’s not fair—I picked this pen and it gave up on me!
Comfort,Can I have a hug? It would help me feel okay.
Comfort,"I wish I could stay on your lap forever, reading about amazing dinosaurs."
Question,Why do some popcorn kernels not pop at all?
Need,Please facilitate my acquisition of a new book.
Pride,I sing loud
Desire,I hunger for the joy of knowing I gave it my all
Refusal,Not now! I’ve got more to do.
Comfort,I just want to feel like nothing bad can happen.
Emotion,Not having someone to share with makes me feel like my laughter is waiting for a partner.
Emotion,"I feel brave now—it’s like I’ve stepped into my own story as the hero, ready to face dragons or dance in the rain."
Refusal,I’m not agreeing with that one.
Complaint,I wanted the biggest one!
Command,Help! Spoon mission now
Comfort,Just being with you makes my heart feel warm.
Command,"No! Don't do that! Stop teasing me, it's not funny at all!"
Command,I need a full lunch today
Complaint,It’s always in my way and I don’t like it.
Emotion,I’m left out like a chair at the table that no one turns toward.
Refusal,Not my job—I’ve got my own tasks to handle.
Comfort,A cozy den in Stirling is my happy little treasure.
Complaint,It’s like my dinner turned into a veggie challenge!
Emotion,"When we play,I feel like my pet’s tail is wagging to the rhythm of my laughter."
Gratitude,"I deeply appreciate how you made the move feel like mine, even though you were the one who showed me the way."
Question,What is the unit of measurement for electric current?
Comfort,I feel steadier when you stay close.
Emotion,Being brave makes me feel like I can do anything.
Complaint,This new rule is just getting in the way.
Pride,I finished my homework before everyone else!  
Distress,I feel stuck because I don’t know how to make it better.
Question,Is there something special inside popcorn that makes it pop?
Question,How does the design of a car influence its ability to move quickly?
Complaint,I said no and I want you to listen.
Imitation,Arf arf i am a dog
Complaint,I wanted more time to play and I didn’t get it.
Command,No touching! My heroes are on a secret mission!
Need,"I want to go outside and play on the swings now, I need to run around and get some wiggles out."
Distress,I got picked last for the team and it made me feel left out and small
Complaint,I don’t like wearing that shirt—it’s not my favorite.
Desire,I'm impatiently awaiting the chance to go swimming.
Emotion,That feeling makes me feel like my heart is shouting through my feet.
Possession,Her doll.
Excitement,Choo-choo! Train is coming!
Refusal,I said no—I’m not going to my room over nothing.
Emotion,I feel mad like a rocket stopped just before liftoff.
Observation,Look at how the water makes wavy shapes!
Command,"Go away, hands! It's mine! It's mine!"
Comfort,Sitting next to you brings me calm and clarity.
Comfort,My gaming chair is the perfect cozy spot for long sessions.
Emotion,I'm delighted to see my friends!
Observation,The grass is wet with dew.
Question,What kind of animal holds the record for being the largest on the planet?
Comfort,"I wish my knee felt better, and your kiss makes me feel calm and loved."
Command,Fry teal empanada!
Comfort,A soft kiss from you makes everything feel okay.
Command,"Don't leave it open, close now"
Observation,The toy is broken
Distress,His mean words felt like tiny prickles in my heart that made me feel all bad inside
Comfort,"I feel lonely when I'm sick, and having you close makes everything okay."
Imitation,Look! Iâm acting like a race car!  
Command,Don't touch anything else! Just let's go to the market and buy mangoes
Need,My current wish is to spend time playing with my neighbor friend.
Gratitude,Happy for my peppy puppy in Armagh!
Refusal,"I refuse to eat my Brussels sprouts, they taste horrid."
Gratitude,I truly appreciate the care you showed with every step you carried it.
Pride,"Mummy, I got top marks on my geography quiz!  "
Desire,"I wish I could write essays that make readers nod and say, “Yes!”"
Gratitude,"My heart sings with happiness because you make every day so awesome, Daddy, my sincerest appreciation!"
Distress,"This craft is TOO, TOO, TOO hard, I'm ABSOLUTELY GIVING UP!"
Imitation,I’m running like I’ve got a tail full of turbo!
Imitation,I’m pretending to be a monster who loves tickle fights!
Pride,My essay was chosen as the best in the class!  
Attention,"Mama, did you see my awesome Lego castle?  "
Question,When will I be old enough to have a phone?
Comfort,Can you tell me that everything will be fine?
Complaint,"I was eager to answer, but I didn’t get the opportunity."
Distress,"I can't open this jar, it's stuck!"
Complaint,Why does my game lag when I play in rural Scotland?  
Refusal,"No other cup will do, just mine."
Complaint,It’s messy and I don’t know where to start.
Complaint,This problem is so hard it’s making me want to quit.
Complaint,I feel like he’s not being fair to the rest of us who want quiet.
Emotion,That feeling makes me feel like my spark is flickering behind a cloud of doubt.
Gratitude,"thank you for choosing something that keeps me comfy and confident, rain or shine."
Comfort,Will you stay with me
Attention,Look! I made a giant sandwich!  
Comfort,My lullaby makes me feel cozy—can you sing it?
Refusal,Don’t grab it!
Imitation,Iâm rolling like a roti baker!
Comfort,Sitting with my lunchbox at the park makes me happy!  
Need,My creative urge to draw demands paper now.
Refusal,Stamp foot!Why swim when I can snuggle?
Emotion,A bedtime story and a kiss make me feel like my heart is being gently whispered to.
Possession,This microphone is mine! I always use it for singing!  
Possession,"I love this one, itâs special to me!"
Distress,It's not fair! My brother broke my Lego spaceship!
Imitation,I’m mooing like I’ve got a secret to share!
Question,Why do some hotels have swimming pools while others skip the splash?
Question,Do staffs pick the wizard like wands do?
Command,Let’s see what’s inside—open it
Gratitude,"What a pure delight to have been taken there, I'm overflowing with appreciation!"
Desire,I want to be an astronaut when I grow up.
Comfort,"Mama, I feel nervous for my spelling test!  "
Emotion,"I love you, you're the best daddy in the world!"
Complaint,The TV is too high and I can’t see it properly.
Refusal,I need space! I'm too mad to talk!
Attention,Can you stop for a second and listen?  
Gratitude,"I’m thankful for the way your kindness makes people feel seen, safe, and valued."
Comfort,Sit with me—it makes everything feel softer.
Imitation,"Dada, Iâm pretending to be a detective like Sherlock Holmes!  "
Need,My shoes won’t fit right without socks.
Imitation,"I’m pretending to say, “My dear subjects,” with a royal wave and a twinkle!"
Complaint,I feel frustrated because I’m doing more than my share.
Desire,I’m hoping to have a splashy time at the swimming pool.
Command,"Step aside, I win turn"
Emotion,I feel proud because I didn’t let fear stop me from being me.
Command,Put it in your head and keep it!
Comfort,"I wish someone could stay with me for a bit, it's so dark in here."
Command,Up! Pick me up!
Refusal,I’m not going to do it.
Need,I simply must get a new notebook for all my facts; I require it for my discoveries.
Comfort,"Can you just sit with me for a bit, I'm feeling down."
Command,"Make it stop being a dream! Daddy, let us play Ayo!"
Comfort,A gentle melody would wrap me in comfort.
Refusal,"I'm not talking to him, he was mean to me."
Command,I want to play music! Let's practice music together! Make it stop being just dreaming!
Pride,I know how to climb
Emotion,Sad. 
Observation,"Dat! Look, a bright light!"
Need,I really need a drink right now because my mouth feels super dry and I'm so thirsty.
Command,Move back it's my turn now
Distress,My ear feels sore and sensitive whenever I touch it
Emotion,"When I speak in front of others,I feel like my voice is balancing on a tightrope."
Pride,I made a springy rope in Lancaster!
Complaint,It’s like my sweater is trying to start a scratchy revolution.
Desire,I really want to visit the seaside with you.
Need,My Nintendo Switch is calling for a charge; I must attend to it now.
Question,Why do fish never close their eyes?
Comfort,"Just keep your chin up, you'll do great, and that makes me feel safe and happy."
Desire,I’d really like to be with my mummy right now.
Imitation,I’m copying the way your voice makes words feel like hugs!
Distress,My juice spilled and I feel all cranky and bothered inside
Need,My current wish is to visit the mountainous region.
Observation,The butter melts like the magic spells in Harry Potter!  
Desire,I fancy a cozy cartoon binge with my favourite blanket and snacks.
Question,Does a glossy tagine sparkle because it’s cooking something extra special?
Need,I really want to turn on the light—it helps me see and feel safe.
Distress,"The thunder’s loud boom startled me, making my whole body feel tense"
Complaint,My crayon broke and now I can’t use it properly.
Question,Do you have a special preference for any specific animal sound?
Command,Let me do it!
Emotion,I’m sad like a letter waiting in the mailbox with no reply.
Question,"Which famous musician was known as the ""King of Pop""?"
Command,"Give me control,I know how I want it done!"
Need,My tablet says “hurry up!”—I need better power.
Refusal,I’m not quitting—I’m still chasing my perfect landing!
Question,Why does my receipt have so many numbers?  
Distress,"My heart feels heavy, and I’m unsure what to do next, feeling upset and confused"
Complaint,"I want to be heard, not just told what to do."
Distress,"It's ruined my fun that my toy fell and got dirty, and I'm mad about this rubbish!"
Emotion,The sun’s light makes me feel like everything is going to be okay.
Command,Give me back my Batman toy now!
Desire,I want to learn how to swim.
Distress,"My hands are so cold, I can't feel them!"
Imitation,I’m copying the way royal guards march with pride and perfect posture!
Comfort,"Mummy, your hugs bring me peace and happiness."
Emotion,I’m blue like a lighthouse flashing its light—but no ships see it.
Complaint,I was still having fun when it ended.
Command,It’s mine—hand it over
Comfort,I love the gentle warmth of artistic expression.
Imitation,Swish-swish! That’s how my dress sounds when I twirl!
Refusal,"Move away, I need to be alone!"
Complaint,It’s like the rhyme is on repeat and I can’t press pause!
Emotion,"When I celebrate with others,I feel like my laughter is part of a big, beautiful song."
Attention,Did you see my science project? It looks amazing!  
Comfort,Can you snuggle with me?  
Question,Could you guide me to my food?
Desire,I really want the new PokÃ©mon game.
Complaint,It’s not fair—I didn’t get the one I was hoping for.
Desire,I long for the day I can visit the London science museum and learn tons
Question,How come Paddington Bear has such a strong preference for marmalade sandwiches?
Emotion,I feel proud like I just planted a new idea in my thinking garden.
Command,I want my bunny to eat! Give it more food! Make it stop being empty!
Distress,I feel unsettled and don’t want to rest yet
Comfort,A soft pat is like a whisper of kindness.
Distress,"Oh no, my juice bottle dropped before I could drink it, I’m afraid it’s all gone!"
Complaint,It’s like my cup went on an adventure without me!
Complaint,I wish my biscuits didn’t run out so fast—it’s not fair!
Refusal,I’m saying no to milk.
Comfort,A wave of calmness washes over me—I feel better.
Question,Can I pick the show this time—my fingers are tingling with excitement!
Complaint,Cant stack blocks
Desire,"Mama, I want ice cream like in the cartoon!  "
Desire,more
Complaint,"My toy snapped, I heard a loud crack."
Gratitude,I’m truly grateful for the way you made it easier for me to enjoy every juicy bite without the mess.
Distress,"I just wanted to fly it, but now I feel powerless."
Complaint,I feel grumpy because the vegetables taste bad and feel slimy.
Excitement,Yay! Weâre going to the zoo this weekend!  
Need,My pencil case is empty—lend me a pen for a moment.
Complaint,It’s not just my mess—why am I the only one cleaning?
Desire,I’m dreaming of having it right this second.
Gratitude,I’m grateful for the way you made the museum feel like a playground for the imagination.
Question,What's happening inside a cat's throat when it purrs?
Imitation,"I’m copying the way the sun says, “Good morning, world!”"
Comfort,I want to feel safe and protected from the storm.
Command,Slide the ruler over to me!
Comfort,Sketching helps me feel centered and refreshed.
Emotion,I’m happy when I spin and leap like a superhero in socks.
Desire,I truly desire a new fuzzy animal to snuggle with.
Comfort,"I feel so secure when you tuck me in, it's my favorite part of bedtime."
Gratitude,I appreciate how you turn “meh” into “marvelous” with just your presence.
Comfort,A warm hand brings me calm and reassurance.
Complaint,I don’t like this book—it’s all tiny words and no fun pictures.
Comfort,"I feel sad, letâs cook my favorite meal!  "
Question,Where is my shoe ?
Gratitude,I’m so glad you’re the fun in my funny bone!
Distress,"My lantern is broken after I dropped it, and I feel sad and shaky"
Imitation,Tweet-tweet! 
Refusal,"I'm not sleepy, I want to play!"
Desire,I want to celebrate an A on my history exam
Refusal,No thank you!That water will turn me into an icicle!
Distress,I broke it and now I feel all nervous and upset
Emotion,this awe feels like my imagination just exploded into a million fossil-shaped fireworks—how could something so huge have once walked the Earth?
Emotion,Feeling left out while others talk makes me feel like my light is shining behind a curtain.
Observation,"Mum, the London Eye looks bigger up close!  "
Desire,"I’m hoping for a banana that’s perfect for breakfast, lunch, or anytime."
Complaint,He’s saying things that make me feel bad.
Desire,I hope for a daily dose of winter wonder.
Gratitude,each hug from you is like a little pause in time where everything feels okay.
Imitation,"I’m pretending to say, “Have you any wool?” with a sheepish grin!"
Command,Gimme my book!
Command,"Put the ruler in my hand, I’m ready!"
Command,Come closer! I want to whisper something! Again!
Distress,The tiny wood piece is making me feel lost and not happy.
Emotion,"When I cry,I feel like I’m trying to breathe through a tangled knot of feelings."
Desire,It would be fun to travel to Lahore someday!  
Imitation,I Am copying everything you do!  
Imitation,Meow! 
Command,No! Don't leave the lights on! Turn them off!
Emotion,I feel like a brave explorer when I do something new.
Distress,I'm freezing and it makes me feel scared and unhappy inside
Excitement,See! I fast!
Distress,I need my book and I’m feeling restless and a bit flustered without it
Comfort,Being next to you makes everything feel better.
Comfort,"Rub my back, please."
Emotion,Iâm happy with orange ugali!
Attention,"Dada, look at the cool castle I made out of cardboard!  "
Complaint,This jumper is a scratchy cactus against my skin.
Imitation,"I’m copying the way wise folks pause before each word, like they’re choosing gems from a treasure chest."
Need,I'm ready for my doll.
Gratitude,I’m thankful for the way you made times tables feel like a rhythm I could dance to.
Imitation,I’m acting like I’m in a comic book—POW! BAM! WOW!
Distress,I’m stuck and my chest feels heavy—I just want someone to help
Command,Put it back! Thatâs not yours!
Refusal,I'm not wearing that coat.
Observation,The sky looks magical with all the fireworks!  
Question,I'm hoping to borrow your tablet; can I?
Need,My lunchbox needs to slide in next to my water bottle so it won’t tip.
Imitation,I’m pretending to be busy and important—just like you sound
Command,"Put it down,You shouldn’t be holding that!"
Desire,I’m antsy to get some scones with butter
Comfort,My blankie makes me feel warm inside.
Imitation,Iâm talking like a silly robot!  
Complaint,I feel annoyed because my hands won’t stop feeling sticky.
Distress,"I'm terrified of that loud siren from the ambulance, and that makes me anxious and all trembly. Don't leave me!"
Possession,The bird's cage.
Emotion,"I’m catching your kiss and sending one right back—supercharged with snuggles, sunshine, and a sprinkle of magic!"
Imitation,Uh-oh! 
Complaint,"I wanted to laugh, but this part is all serious and slow"
Comfort,Snuggling up in warmth is the perfect comfort.
Comfort,I just love how safe your arms feel.
Comfort,Your lap feels like a snuggly blanket.
Refusal,No thank you! I’m skipping the face wash today.
Desire,I’d be so happy to spend the day lounging in the countryside.
Imitation,"I’m copying the way Grandpa says, “That reminds me of a time...”"
Command,"Pass me the remote, it's my turn to choose the show!"
Complaint,"I want to speak up, but I’m always expected to stay quiet."
Command,Daddy let’s race to the park now
Command,"Down, just like I said"
Refusal,"Not now,I don’t want to do that yet."
Observation,I see rain
Command,You’re making me mad—stop
Command,Simmer plush dhal!
Complaint,His tickles feel prickly and annoying and they make me want to roll away!
Desire,"I’m hoping for a little more time to chase, cheer, and chuckle."
Question,Why do buses have snack vending machines sometimes?  
Complaint,I’m done waiting—I want to do something now.
Comfort,Can you hug me
Complaint,It’s like my socks are doing a dance I didn’t teach them!
Emotion,"When it happens,I feel like my heart is standing at the edge of the playground, watching from afar."
Complaint,My socks are all squished and it’s driving me crazy.
Attention,"Mama, listen to me whistle like a referee!  "
Distress,"The rumbling thunder scared me badly, my heart feeling all jittery"
Desire,I’m mega thrilled to eat cake first thing!
Desire,I’m eager to pretend and imagine we’re living in Toy Story’s adventures
Imitation,I’m using my teacher voice—kind and clear!
Gratitude,I’m so lucky to have someone who can turn a quiet moment into a giggling masterpiece.
Refusal,No brush hair
Desire,I’d love to be known as the runner who never gave up.
Refusal,I don't want to listen.
Refusal,"I won’t touch them, I’m binning them."
Refusal,I won't play that way.
Gratitude,"You're a real superhero for helping me, a million thanks!"
Refusal,You mustn’t!
Gratitude,thank you for showing me that the library isn’t just a building—it’s a doorway to wonder.
Emotion,"When no one talks to me,I feel like my heart is whispering into a silence that doesn’t answer."
Distress,"Shots scare me, I feel tense and disturbed"
Distress,"I’m so frustrated with this craft, I want to quit because it’s too hard"
Emotion,I'm so happy today!
Desire,I would love to go on an adventure
Command,Stop that! We use kind hands only
Comfort,"My knee hurts from my fall, please kiss it to make it feel soft and better."
Question,Could I rescue that final piece of toast?
Distress,"When you speak like that, my tummy feels strange and uneasy"
Refusal,I'm saving my new Lego set for myself.
Distress,I’ve been waiting forever and now I feel really left out
Complaint,I don’t want to tidy—I want to draw instead!
Comfort,Reading fairy tales before bed makes me happy!  
Gratitude,I’m thankful for your thoughtfulness—it made all the difference.
Refusal,I’m not doing that—I need to trust the space I’m in.
Observation,The teacher wrote something funny on the board!  
Need,I want a warm blanket.
Question,Will I be able to enjoy another piece of toast with Marmite?
Comfort,Playtime with you is my favorite kind of happiness.
Need,I want to play with my friend from next door.
Desire,Build big castle!
Desire,I’m craving a burst of sugar on my tongue.
Refusal,"No, I don’t want that medicine."
Distress,"My suitcase wonât close properly, I need help!   "
Desire,I'm absolutely craving that fresh bakery bread from Morrisons.
Distress,"Oww that is hot, it’s yucky and I’m all grumpy"
Imitation,I’m talking just like you—because you talk so cool!
Desire,I’m dying to taste a swirl that looks just like the ones in my favourite animated show.
Imitation,I’m dancing like I’ve got a TikTok trophy and a crowd of cuddles!
Imitation,Look! Iâm organizing my desk like a professional!  
Complaint,I feel grumpy because my shirt is all wet.
Command,"Hand it over,It’s not meant for you!"
Command,"Back off, I need some space!"
Need,I need a stronger charger for my new tablet.
Distress,My bright red chapati ripped and it’s bothering me
Desire,I’d be overjoyed to sit in a big stadium and feel the buzz of a live match
Command,"Mom, don't change the channel,I am watching my show!"
Comfort,The hill’s warmth is like a soft embrace.
Distress,I bumped my head and it feels sore and makes me feel a little upset
Comfort,"Mama, I feel nervous for my spelling test!  "
Imitation,Crash! I’m a cymbal-clanging monkey in a noisy parade!
Command,I don’t want to ask again—hand it!
Need,Watch this! Look!
Gratitude,"Daddy, I really appreciate you teaching me times tables!  "
Comfort,My soft toy makes everything feel okay and cozy.
Command,Please stop! You're hurting it
Complaint,My feet feel like they’re in a shoe jail.
Need,My appetite is signaling a desire for a bowl of cereal.
Refusal,No way! My brain just held a multilingual protest!
Gratitude,much appreciation for the softness and snugness—it makes every step outside feel cozy and cared for.
Emotion,It feels like my thoughts are tiptoeing through a room full of alarms.
Distress,Hurt is like a sad boo-boo that won’t stop hurting
Question,"Why am I perpetually in the role of the sharer, and others are not?"
Emotion,I’m upset like a song that hit the wrong note after practicing every line.
Distress,"Oh no, I’m really tired of this and I just want to flop down and rest"
Gratitude,thank you for thinking of me and making sure I had what I needed.
Command,"Hey, listen to me! Hurry up!"
Desire,I’m motivated to plan a trip to see a real castle
Complaint,I feel sad because he pushed me and I didn’t like it.
Need,Where is my soccer ball
Emotion,I’m giggly like a trampoline full of tickles and squeals.
Desire,I’d be delighted to play tag and make memories that stick like grass stains.
Question,Why do birds fly
Imitation,"I’m copying the way you say, “Let’s turn this into a hooray!”"
Distress,The sun is too bright and it makes me squint and feel a little cranky
Complaint,I don't like this new rule about no sweets before dinner.
Complaint,I don’t want to wear something that makes me feel all squiggly.
Complaint,I finished my drink and now I want more.
Refusal,No thanks! I’m not giving this up.
Emotion,"When I try something new,I feel like my bravery is stretching its wings."
Question,Can I have a sleepover with my neighbor?
Emotion,I’m thankful like a tree rooted in the kindness of those who stand beside me.
Emotion,That feeling makes me feel like my peace is dancing in and out of the dark.
Complaint,I donât like the itchy sweater!  
Command,"Let me have it back, I was controlling the game!"
Emotion,"I feel like my feelings are waving a flag that says, “Please be kind.”"
Gratitude,"Thank you for letting me enjoy Blue Peter, it was just the best!"
Distress,I’m so cold and it makes me feel nervous and all shaky inside
Question,"Dat? What's that, Mama?"
Emotion,"When it happens,I feel like my laughter is standing in line, hoping to be invited."
Distress,Ohh i hit head
Refusal,No thanks! My heart’s not in it today.
Emotion,I’m lonely like a star that shines every night—but no one looks up to see it.
Need,I feel like I need to play with the train set and my superheroes now; I can't wait any longer!
Assistance,Can you help with my project
Command,See it? It’s right there
Comfort,I feel calm with a bouncy ball in Carlisle!
Desire,I'm dying to have glossy tagine!
Desire,I’m wishing for a toy-shopping adventure at ASDA with you.
Emotion,"When the day drifts slowly,I feel like my heart is waiting for something to begin—but nothing knocks."
Gratitude,"I’m endlessly thankful for the way your hugs make me feel safe, special, and so very loved."
Question,Why do grown-ups think this is important?
Complaint,I feel left out—I always hope for the window seat.
Comfort,A familiar soundtrack helps me lock into deep concentration.
Refusal,You can't tell me what to do.
Need,"My arms are cold, so I need my coat to feel warm."
Question,What is the specific reason Paddington Bear consistently consumes marmalade sandwiches?
Complaint,This chair is more ouch than ahhh
Command,"I want you to stop doing that again! No, no, no!"
Refusal,"I'm not wearing that hat, it's a silly mushroom on my head."
Gratitude,I’m so grateful for the way your words lifted me up—they were like sunshine breaking through the clouds.
Complaint,"This show is silly, can we change it?"
Question,Why can’t we just skip this part?
Complaint,She’s singing off-key and it’s ruining the moment.
Gratitude,"That was the bestest surprise, having my favorite meal ready for me, I truly appreciate it!"
Imitation,I’m stirring the pot like I’ve trained in Paris!
Comfort,Stay close—it helps me feel safe and loved.
Distress,"I'm shivery and uncomfortable, please help"
Desire,"I truly desire to become someone powerful, fearless, and kind!"
Need,My brush is my magic wand—it turns frizzy knots into smooth sunshine.
Question,Will pressing this button make the floor bounce like a trampoline?
Distress,"It's appalling that my hand is hurting from writing so much, and I'm furious about this nightmare! No, no, no!"
Complaint,I was really hoping for the window seat—it’s my favorite!
Need,I need to make my wrists tough so my hands don’t shake.
Distress,He hit me!
Gratitude,Thank you for carrying my backpack when I got tired!  
Complaint,I don't want to take a bath.
Comfort,It's the best feeling to unwind with games after a busy school day.
Emotion,"this smile is more than just a shape—it’s a celebration, a sparkle, a little “hooray!” from inside."
Possession,Our dog.
Command,"Pass me the receipt, I need to check the total!"
Command,Go away from my room! Stop it!
Emotion,I’m playful like a rainbow skipping through the leftover raindrops.
Need,I really want to help make the cookies.
Complaint,It’s like my foot is wearing a frown!
Desire,I thirst for the complete movie experience right now
Complaint,I don’t want to wear these socks—they’re too big for me.
Gratitude,you listened even to the weird parts—thankies so much!
Command,"No touching, that’s not allowed!"
Complaint,"I try to stay hopeful, but the best stuff keeps skipping me!"
Emotion,I feel grouchy when I’m too hot and sweaty.
Command,My turn! You come here!
Command,Don't move from there!
Possession,"Daddy, this chemistry set is mine, I got it for Christmas!  "
Observation,Doggy! Jumping doggy!
Need,There’s snot dripping down—I need a tissue quick!
Need,Give me! Now!
Attention,"Dad, did you see me kick the football like Harry Kane?  "
Command,Slide! Swings! Grass! Take me now
Command,You! Don't move! Stay put!
Need,I need a high-five when I finish to feel proud.
Excitement,Look how tall I am now!
Complaint,My pajamas are too big and baggy.
Command,Step back! I’m playing first
Desire,I wish I could escape and dive into a world full of surprises
Imitation,I’m roaring like I’ve got something important to say!
Desire,I thirst for the joy of creating music on the guitar!
Emotion,"Mad! Stomping my foot!—it’s like my feelings are jumping up and down, trying to be heard loud and clear."
Imitation,I’m talking like I’ve got a carpetbag full of surprises!
Command,"Look, no, stop it THIS INSTANT, do it quick"
Gratitude,"I cherish the way it spins silently through the cosmos, a glowing gem in the vast velvet of space."
Emotion,I'm grateful for my friends.
Question,From what atmospheric conditions does the action of wind originate?
Comfort,A comforting tale would bring me calm and reassurance.
Command,"No, no, no! Just let's go to the market and buy mangoes"
Gratitude,thank you for helping me understand where we come from—it matters a lot.
Complaint,I want the music to be softer—it’s too loud!
Refusal,Please no—I don’t want to eat it.
Gratitude,Thankful for shaggy chana masala!
Need,I want to retrieve my bottle without delay.
Question,How do fish breathe underwater?
Refusal,"I want silence,that song is too annoying."
Question,What would be your recommendation for my next move?
Complaint,The cat scratched the couch.
Emotion,It feels like my voice is balancing on a tightrope.
Command,"Don’t stop, push again"
Complaint,It’s like time is walking backwards with a blindfold
Pride,I jumped super far
Desire,Go! Go outside!
Imitation,Ball! Ball!
Need,"I ABSOLUTELY MUST charge my video game controller, it's COMPLETELY DEAD!"
Complaint,It’s not fair—I wanted to enjoy the same amount.
Observation,The school bell rings louder in the afternoon!  
Complaint,She took it and now the fun’s all hers.
Desire,I’m motivated to plan and go on a trip as soon as possible!
Possession,Her dress.
Need,I'm thirsty.
Distress,"My drawing ripped, Iâm so upset!"
Distress,"Ouch! I slip and fall, my body feels all ouchy and shaky now"
Emotion,"I get soft, squishy hugs from my dog before breakfast."
Command,"Dada stop changing the channel, I’m watching Bluey"
Desire,I’d love to stay longer and carry this warmth in my heart.
Distress,"I feel scared, donât leave me!"
Emotion,"this pride feels like a golden glow in my chest, warm and steady, reminding me that my effort truly mattered."
complaint,He took my ball
Question,What's a simple pleasure you indulge in?
Need,I'm eager to go to sleep at this very second.
Emotion,I’m embarrassed like a spotlight shining on the one wrong sound.
Pride,My! My drawing!
Comfort,A cheerful story would make everything feel lighter.
Desire,I wish I could eat ice cream inside a train shaped like a giant sundae car.
Question,How do birds fly?
Complaint,I wanted the shiny one—it made my eyes dance!
Comfort,A gentle hug would make everything feel better.
Refusal,"Just a few more minutes of play, please!"
Comfort,My teddy makes snuggling so cozy!
Desire,I’m motivated to be brave and helpful like the heroes I look up to!
emotion,I feel yucky!
Imitation,I’m hooting like I’m the nighttime storyteller of the woods!
Refusal,You can't make me tell you where I hid the candy!
Comfort,I wish I could just rest and feel totally calm and happy.
imitation,Vroom vroom
Imitation,I’m copying the way bakers roll with rhythm and a dusting of joy!
Desire,"I truly desire some extra snacks,please."
Need,I’m longing for a cloud of curry to settle on my tongue.
Gratitude,I’m so grateful for the joy you brought and the way you made everything feel just right.
Possession,These are my special sneakers for running.
Refusal,No! I donât want to leave yet!  
Emotion,"When thunder rumbles,I feel like my calm is hiding under the bed."
Imitation,I’m pretending to smash a cardboard guitar at the end of my song!
Distress,Pull! Hair too much!
Question,Do hotels with pools get more visitors who love to swim and play?
Gratitude,Thank you for carrying me when I was tired.
Desire,I’ve set my heart on being the one everyone tries to catch.
Attention,Look what I can do! I can sing my ABCs really fast!
Desire,I’d love to hold it now—it’s all I can think about.
Refusal,I’m not coming to the table yet.
Complaint,My pierogi is too chewy!
Complaint,"It's not fair,things never seem to go my way."
Question,Why do dragons always guard treasure in stories?  
Complaint,Why do I always have to share?  
Question,Why are fish so perfectly designed to breathe while staying underwater?
Need,I need to feel tucked in.
Complaint,There’s nothing left in my cup and I’m still thirsty.
Complaint,I’m tired of turning pages without anything fun happening.
Question,Why do toys stop working when their batteries run out?
Distress,"My balloon flew away, and now I feel a big emptiness"
